Job_id,Job title,Job posting date,Job posting url,Job location,Pay rate,Vendor company name,Job type,Work from availability,Work type(remote/on-site),Modified Date,Current date time (CST),Job Title
54d2a0746a500fb0eadc8200ae2dfdf6,Data Analyst,2024-02-01T16:54:23Z,https://www.dice.com/job-detail/25927977-6b48-46a6-b465-c5cde867f0f5,"Chicago, IL, USA",Depends on Experience,Whiztek Corp,Contract,FALSE,Hybrid/Onsite,2024-02-01T16:54:23Z,2024-02-01T23:58:01Z,Data Analyst
0972e0e0b1165ec2b11e0db39474b1dc,Data Analyst - IT,2024-02-01T16:09:28Z,https://www.dice.com/job-detail/9060476c-d803-4eeb-b9f3-141c9895b1e9,"Chicago, IL, USA",USD70 - USD75,Randstad Digital,Contract,FALSE,Hybrid/Onsite,2024-02-02T04:07:00Z,2024-02-01T23:58:01Z,Data Analyst
daed632b665c5df2d3e2bf993be7dfee,Data Analyst I,2024-02-01T22:09:14Z,https://www.dice.com/job-detail/b4156ed7-bddc-49f3-8984-7f5a41ff9a87,"Minneapolis, MN, USA",USD24 - USD34,Randstad Digital,Contract,FALSE,Hybrid/Onsite,2024-02-02T04:07:37Z,2024-02-01T23:58:01Z,Data Analyst
cc29f7d51b46dd76746e1c64736a7e3b,ETL/Data Analyst,2024-02-01T18:26:24Z,https://www.dice.com/job-detail/948aca60-4a46-4d29-a740-1b26bb1ad573,"Philadelphia, PA, USA",Depends on Experience,Generis TEK Inc.,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-02-01T18:26:24Z,2024-02-01T23:58:01Z,Data Analyst
b0b6399f982edca1524efa1d0fb63063,Data Analyst,2024-01-31T23:30:14Z,https://www.dice.com/job-detail/470446c1-17ab-438c-ba3c-e29dff723662,,Depends on Experience,SGS Consulting,Contract,FALSE,Remote,2024-01-31T23:30:14Z,2024-02-01T23:58:01Z,Data Analyst
056abffb0141a26bba649258d6a176d9,Splunk Data Analyst,2024-02-02T05:45:50Z,https://www.dice.com/job-detail/a9a051d6-98a3-4c10-aeb0-1b107dde57b0,,Depends on Experience,Dizer Corp,"Contract, Third Party",FALSE,Remote,2024-02-02T05:45:50Z,2024-02-01T23:58:01Z,Data Analyst
b7dd18f02dbbe3dd3bd14ee94526cdff,Splunk Data Analyst,2024-02-02T05:52:50Z,https://www.dice.com/job-detail/5fc79bc1-1947-4788-b378-df0c56c2a597,"Atlanta, GA, USA",Depends on Experience,Dizer Corp,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-02-02T05:52:50Z,2024-02-01T23:58:01Z,Data Analyst
41b5cb0988ffc51b54d0bd274ed379e5,Data Analyst with Splunk,2024-02-01T22:38:08Z,https://www.dice.com/job-detail/4eaac086-0646-45d6-b6e5-60950e64ad90,"Atlanta, GA, USA",Depends on Experience,Cynet Systems,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-02-01T22:38:08Z,2024-02-01T23:58:01Z,Data Analyst
6cc1688109eea6c785a53ceb1a9df462,Data Analyst + Splunk,2024-02-01T23:29:57Z,https://www.dice.com/job-detail/1fdae534-cc1b-49e6-b13a-c934f9f8f75f,,Depends on Experience,Talent Group,"Contract, Third Party",FALSE,Remote,2024-02-01T23:29:57Z,2024-02-01T23:58:01Z,Data Analyst
0ece999f14cd0ea60b1eaccad9baf4ee,Systems/Data Analyst (remote),2024-02-01T01:09:52Z,https://www.dice.com/job-detail/0a005891-571a-4c27-a5c5-5494055ce41a,"El Segundo, CA, USA",USD65 - USD70,Randstad Digital,Contract,FALSE,Remote,2024-02-02T04:06:52Z,2024-02-01T23:58:01Z,Data Analyst
495f7c937c81c1f7ac40fdaa81acf7b0,Data Analyst Specialist,2024-01-31T21:56:32Z,https://www.dice.com/job-detail/e3105ce4-1719-46e2-86e1-45d537e3a5c7,"McLean, VA, USA",Depends on Experience,Zillion Technologies,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-01-31T22:12:48Z,2024-02-01T23:58:01Z,Data Analyst
719d9635c2362438de26ab99c54eb928,Data Analyst,2024-02-01T15:20:29Z,https://www.dice.com/job-detail/fa9f3e1e-2c50-40c0-bf21-2a4706432759,"Lake Forest, IL, USA",Depends on Experience,Infotech Resources,Contract,FALSE,Hybrid/Onsite,2024-02-01T15:20:29Z,2024-02-01T23:58:01Z,Data Analyst
b3ef579a5b016b2228333f0dbcec3063,Data Analyst with Finance Experience,2024-01-31T23:03:28Z,https://www.dice.com/job-detail/5db7ba0e-24b3-4be8-b71f-a679dbf6da8f,"Minneapolis, MN, USA",Depends on Experience,"Activesoft, Inc.",Contract,FALSE,Hybrid/Onsite,2024-02-01T14:43:03Z,2024-02-01T23:58:01Z,Data Analyst
80ed067760e5b46ad27f7291f7ae2e76,"Data Analyst - Atlanta, GA",2024-02-01T14:23:56Z,https://www.dice.com/job-detail/e6d002d7-0ae0-451c-b6e5-58a9e497843a,"Atlanta, GA, USA",Depends on Experience,Chabez Tech LLC,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-02-01T14:30:40Z,2024-02-01T23:58:01Z,Data Analyst
