Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
Data Analyst,Austin,$41.37 - $48.27 / hr,Contractor,"https://www.ziprecruiter.com/c/Cynet-Systems/Job/Data-Analyst/-in-Austin,TX?jid=9e6799c24c747af7",Cynet Systems,2024-02-01T16:33:40Z,,9e6799c24c747af7,2024-02-02T00:22:44Z
Report Developer/Data Analyst,Phoenix,$37 - $39 / hr,Contractor,"https://www.ziprecruiter.com/c/ABCS,-Inc./Job/Report-Developer-Data-Analyst/-in-Phoenix,AZ?jid=afb65f090ca85251","ABCS, Inc.",2024-02-02T00:02:32Z,,afb65f090ca85251,2024-02-02T00:22:44Z
Data Analyst (Remote): 24-00008,Newport Beach,$58 - $63 / hr,Contractor,"https://www.ziprecruiter.com/c/Platinum-Resource-Group/Job/Data-Analyst-(Remote):-24-00008/-in-Newport-Beach,CA?jid=fb9316af637493be",Platinum Resource Group,2024-01-23T19:45:41Z,remote,fb9316af637493be,2024-02-02T00:22:44Z
Sr Business/Data Analyst,Richardson,$65 - $70 / hr,Contractor,"https://www.ziprecruiter.com/c/Darbytek/Job/Sr-Business-Data-Analyst/-in-Richardson,TX?jid=03ccbf2c3888f363",Darbytek,2023-07-26T16:47:27Z,,03ccbf2c3888f363,2024-02-02T00:22:44Z
Data Analytics Engineer,Santa Monica,$90K - $120K / yr,Contractor,"https://www.ziprecruiter.com/c/Oceanfront-Analytics/Job/Data-Analytics-Engineer/-in-Santa-Monica,CA?jid=6794a96540943187",Oceanfront Analytics,2023-08-30T14:37:45Z,,6794a96540943187,2024-02-02T00:22:44Z
Stability Analyst,Rocklin,$20 - $25 / hr,Contractor,"https://www.ziprecruiter.com/c/Ronin-Staffing,-LLC/Job/Stability-Analyst/-in-Rocklin,CA?jid=5eddba37f61ecfe4","Ronin Staffing, LLC",2024-01-24T20:17:24Z,,5eddba37f61ecfe4,2024-02-02T00:22:44Z
HR Analyst,Los Angeles,$56 - $69 / hr,Contractor,"https://www.ziprecruiter.com/c/WAVSYS/Job/HR-Analyst/-in-Los-Angeles,CA?jid=0661d740ed59017d",WAVSYS,2024-01-29T20:47:38Z,,0661d740ed59017d,2024-02-02T00:22:44Z
Data Analyst,Antioch,$44 - $46.21 / hr,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Data-Analyst/-in-Antioch,IL?jid=7518e4f178a979d4",Alpha Consulting Corp.,2024-01-05T08:00:00Z,,7518e4f178a979d4,2024-02-02T00:22:44Z
Claims Recovery Data Analyst | Contract,Orange County,$30 - $42 / hr,Contractor,"https://www.ziprecruiter.com/c/Consilio-Enterprise-Talent-Solutions/Job/Claims-Recovery-Data-Analyst-|-Contract/-in-Orange-County,CA?jid=ef330983030051b2",Consilio - Enterprise Talent Solutions,2024-01-22T22:48:50Z,,ef330983030051b2,2024-02-02T00:22:44Z
Sr. Project Analyst,Newport Beach,$49 - $51 / hr,Contractor,"https://www.ziprecruiter.com/c/DB-HEALTHCARE-INC/Job/Sr.-Project-Analyst/-in-Newport-Beach,CA?jid=b8f38f3e28c5baf6",DB HEALTHCARE INC,2023-12-12T15:27:50Z,remote,b8f38f3e28c5baf6,2024-02-02T00:22:44Z
Data Analyst,Naperville,$0 / ,Contractor,"https://www.ziprecruiter.com/c/H1B-Sponsorship-Jobs-in-Usa/Job/Data-Analyst/-in-Naperville,IL?jid=69d2977db17c0ccb",H1B Sponsorship Jobs in Usa,2024-01-31T08:00:00Z,,69d2977db17c0ccb,2024-02-02T00:22:44Z
Data Analyst,Fremont,$50 - $55 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Data-Analyst/-in-Fremont,CA?jid=b7805bc4ae425006",TEKsystems,2024-01-19T03:07:09Z,,b7805bc4ae425006,2024-02-02T00:22:44Z
Data Analyst,Cupertino,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Russell-Tobin/Job/Data-Analyst/-in-Cupertino,CA?jid=f0a8da3965089167",Russell Tobin,2024-01-19T13:24:25Z,,f0a8da3965089167,2024-02-02T00:22:44Z
Data Analyst,San Francisco,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Russell-Tobin/Job/Data-Analyst/-in-San-Francisco,CA?jid=5471435037074efd",Russell Tobin,2024-01-19T13:24:17Z,,5471435037074efd,2024-02-02T00:22:44Z
Technology Data & Reporting Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Abacus-Service-Corporation/Job/Technology-Data-&-Reporting-Analyst/-in-Remote,OR?jid=48dee10fb9341efc",Abacus Service Corporation,2023-08-01T17:19:24Z,remote,48dee10fb9341efc,2024-02-02T00:22:44Z
Senior Clinical Data Coordinator,Alameda,$55 - $60 / hr,Contractor,"https://www.ziprecruiter.com/c/Collabera/Job/Senior-Clinical-Data-Coordinator/-in-Alameda,CA?jid=200c5e5ea4e49e8d",Collabera,2023-07-25T16:46:29Z,,200c5e5ea4e49e8d,2024-02-02T00:22:44Z
